screen,role,action,outcome,durable_data,evidence,untested_controls
/mobile-app welcome,founder;jyoti.manager39;anita.associate17,open app; sample nav during welcome,splash 6.5s+; nav display:grid under welcome for AI-enabled staff (covered by splash); associate nav hidden,n/a,01b-welcome-nav/*,welcome form variant (geolocation answered)
/mobile-app nav,founder;jyoti.manager39;anita.associate17,measure AI tab geometry,6-col grid; all tabs inside (fixed); associate 5 tabs no AI,n/a,01-employee-ai/*-01-nav.png,
/mobile-app AI tab chat,founder (Pixel 7),turn1 / turn2 409 / network loss / retry,handoff honest; 409 inline alert; 'Failed to fetch' alert; retry 200,communication_messages 3; ai_handoffs 2 queued; audit chat rows 2 (409 turn unaudited),01-employee-ai/founder-03..06.png,double-click send (prior pass)
/mobile-app AI tab chat,jyoti.manager39 (iPhone 14),turn1 / turn2 409,handoff honest; 409 alert,thread THREAD-93FDBBE7-06E queued,01-employee-ai/manager-03/04.png,
/mobile-app AI Voice,founder;jyoti.manager39,read state; readiness GET; ticket POST,founder: Workers AI binding missing (409 audited); manager: 'Voice request refused' 403 unexplained,security_audit_events voice.ai_browser_test.ticket blocked,01-employee-ai/founder-07-voice.png; manager-02-voice.png,Start voice (disabled)
/mobile-app,anita.associate17,open; GET/POST api,no AI tab; 403 Permission denied,none,01-employee-ai/associate-01-nav.png,
/team/ai/handoff,founder,list; Take over; Return to AI (customer thread; seeded UATD-TH-1/3; employee C••••• thread),all 200; DB staff_active->resumed; C••••• rows unresolved,ai_handoffs; ai_handoff_events; communication_threads.assigned_to,02b-staff-takeover/F-01..05 F-06; 01-employee-ai/queue-*.png,reply (no control exists)
/chat,E2E-CUS-UI-001 (Pixel 7),My account turn; second turn; replay; callback request; resume after return,200 handoff rollout_gated; 409 alert text kept; duplicatePrevented; callback honest blocked; resume 200,communication_messages 4 inbound; ai_handoffs; ai_voice_calls VCALL row; audits,02-customer-chat/A-*.png; 02b/A-01-resume-turn.png,
/v2/chat,E2E-CUS-UI-001,My PawSpace turn x2,409 alert rendered; text kept,none new,02b-staff-takeover/A-02 A-03.png,Explore services mode
/chat,guest (desktop),My account; Our services; public lead POST,sign-in notice Send disabled; knowledge answer no prices; lead 201,ai_web_leads row,02-customer-chat/G-01 G-02.png,
/chat ownership,customer B (9800000777),POST with A id/key; GET A thread on 4 APIs; own turn,all 403; own thread separate,communication_threads separate ids,02-customer-chat/B-01-own-chat.png,
/team/customer-experience,founder,load; select web-chat thread; reply,1x409 control probe per load/select with honest note; composer staff-note only Send disabled,none,02b-staff-takeover/F-03 F-04.png,Take over (disabled non-WhatsApp); Human only mode
/api/whatsapp/conversation-control + /api/crm/chat,founder,human_reply; send_message; simulate_inbound; list,409 not WhatsApp; 400 ok:true; 403 env; list includes chat thread,none,02b-staff-takeover/result.json,WhatsApp thread controls (no thread)
/team/whatsapp,founder,open,404,n/a,03-crm-leads/F-07-team-whatsapp.png,analytics/templates/automation sub-pages (rendered prior)
/team/voice/ai-test,founder,read; readiness; POST self test; ticket,carrier self-test 409 allow-list; browser mic 409 binding; audited blocked,security_audit_events voice.ai_self_test.request blocked,01-employee-ai/voice-selftest-01 02.png,Test via Browser Mic; Call my allow-listed number (disabled)
/team/voice,founder,read,CALLING DISABLED (PAWSPACE_VOICE_UAT_APPROVED),n/a,01-employee-ai/voice-console-01.png,Check policy; Place call (disabled)
/api/haptik; /api/whatsapp-uat-webhook,anonymous,POST,503 not configured (honest),n/a,03-crm-leads/result.json,Haptik capture_lead etc.
/crm,founder,open; GET /api/revenue-crm; search; detail,200 no 5xx (P1-02 reads fixed); search phone '0 shown' (EMP-09); detail illegible,lead_callbacks repaired additively; lead_callback_events created,03-crm-leads/F-01-crm.png; 03b/F-01-crm-search-phone.png,Create test booking; WhatsApp Live Chat panel send
/crm,sunita.manager37,open; + Add lead; search,renders; 201 CU-71628/LEAD-1790001487758 owner neha.kulkarni; search 0 shown,crm_contacts crm_tasks lead_work_items,03-crm-leads/S-01..S-04.png,
/crm,jyoti.manager39,open,honest 'CRM is outside the manager's organizational scope' 403,n/a,03-crm-leads/J-01-crm-scope.png,
/booking-command-center,sunita.manager37,open,honest scope denial; stream 500 (EMP-15),n/a,03-crm-leads/S-05-bcc-scope.png,
/contact,guest (Pixel 7),submit; resubmit; replay API; tamper,201 lead; no double send; 200 duplicatePrevented; 409 conflict,crm_contacts CU-be35d107…; lead_work_items; public_contact_submissions,03-crm-leads/G-01 G-02.png,attribution params
/api/lead-assignment-governance,founder;uat.demo.sales1;uat.demo.sales2,assign/replay/reassign/accept/end/save+activate policy/save_member,validation refusals 500 (EMP-07); city 'blr' never matches; with 'Bangalore' policy all 200 idempotent,lead_assignment_policies; lead_assignments; lead_assignment_events; audits,03b/03c result.json,end_assignment; set_availability
/api/lead-sla-governance,founder,start_clock/record_action/run_governance/pause,500 without matching policy or clock; with policy 200 clock met,lead_sla_policies; lead_sla_clocks; lead_sla_events,03c/03d result.json,resume_clock
/api/revenue-crm callbacks,founder;sunita.manager37,schedule/complete/due list,schedule 409 NOT NULL lead_callbacks.phone (D01); due list loads (empty); validations governed,lead_callbacks 0 rows,03b/03c result.json,UI (none exists)
/api/revenue-crm log_attempt,founder,Connected/Opt-out/Interested/whatsapp RNR/advance_day,sticky opt-out verified; advance_day 500 without matching policy,lead_work_items; customer_contact_preferences; crm_contacts; lead_attempts,03b/F-02-crm-detail-optout.png,mark_cold; run_reopening
/team/daily-revenue,founder;sunita.manager37,open; Save target,200; ₹2,50,000 shown; 0 opportunities,daily_revenue_targets,03b/F-03-daily-target.png; 03-crm-leads/S-07.png,Claim (no rows)
/team/sales,sunita.manager37,open,renders 22,771px (EMP-14); new leads listed,n/a,03-crm-leads/S-06-team-sales.png,cross-sell; power-dialler
/v2/crm,founder,open,renders legacy CRM,n/a,03-crm-leads/F-06-v2-crm.png,
/api/canonical-bookings (conversion),E2E-CUS-UI-001,publish dog-basic; live quote 1747; POST booking,409 'Scheduling must be assigned before booking confirmation' — conversion not exercised,service_packages dog-basic active=1,03e-conversion/result.json,lead conversion attribution
/api/customer-360,founder,GET for web-lead customer,200; lead/thread not surfaced (D07),n/a,03b result.json,
