"screen","role","action","outcome","durable_data","evidence","untested_controls"
"/partner-app Home/Jobs (Pixel 7)","groomer 9000000901","deep link, accept, journey, arrival, checklist, start, photos, proof, complete","pass (LP-P03); D06 raw code, D04 wrap, D07 disabled Mark arrived","booking_lifecycle_events, grooming_service_proof, service_media_assets","g02-*.png","Bike issue, Service taking longer, Open protected rebooking"
"/partner-app GPS tab","groomer","denied location -> recovery, geofence","pass (LP-P02); E01 ETA gated","universal_provider_location_events (2 accepted fixes)","g06-*.png, g02-04/05","Navigate ↗ (external)"
"/partner-app Jobs (completed)","groomer","Create payment request","FAIL 500 (LP-D01)","none (no post_service_payment_requests row)","g03-01-after-payment-request.png",""
"/partner-app Live order impact","groomer","Running late / Package upgraded","pass / FAIL 400 (LP-D03)","operation.running_late event","g02-13-live-order-impact.png","Service taking longer, Bike issue"
"/partner-app Earnings","groomer","view settlement/incentives","D02 false proof warning; settlement accrued","provider settlement ledger","g03-02-earnings.png","statements (none)"
"/partner-app More","groomer","onboarding link, hub link, switch provider, sign out","pass","—","g02-21-more-tab.png","Sign out / switch partner (not re-run)"
"/partner/onboarding","groomer + new phone 9000000999","start application, submit","env-gated (LP-N16)","provider_onboarding_applications POAPP-7A7AC1FA-D0A","o01-*.png","document uploads (unavailable)"
"/partner, /partner/workspace, /partner/jobs, /partner/rates","groomer OTP + staff","render","pass except rates 403 copy (D09), workspace payment pending (D10)","—","g03-05..11, g04-d09/d10","People/attendance links"
"/partner-app (iPhone 14)","groomer 9000000904/905","superseded session, consent overlap","D08 still-open, D11 fixed","—","g04-d08-*, g04-d11-*",""
"/partner-app Jobs (commission)","E2E-PRV-UI-001 9800000222","Decline, Accept after decline, decline replay","LP-O01 pass; LP-N02 UI, LP-N01 500","provider_work_orders reassignment_needed, provider_recovery_escalated event","g05-*, g05b-*","Accept before decline"
"/partner-app Jobs (training)","trainer 9000000931","Accept training session unpaid","pass refusal (LP-P07)","—","t01-02","Open training session link"
"/trainer Sessions","trainer","accept, on the way, arrive (denied/far/near), start, photos, handover, report, complete, next session","pass (LP-P08/P09)","training_sessions, training_session_consumptions, service_media_assets","t02-*, t03-*, t04","Request reschedule, Record no-show"
"/trainer Programmes / Earnings","trainer","view","pass; rate hold (LP-N17); ownership 403 (LP-P06)","training earnings rows","t03-04/05",""
"/trainer (train_meera)","trainer switch","accept cancelled session","refused (Accept disabled; API 409 generic)","—","t01-06",""
"/walker + /walker/proof","walker uatcap_walk_ft","accept, handover, start (denied/far/near), events, samples, complete","pass (LP-P10)","walking_sessions, walking_session_events, session payment due","w02-*","Mark unavailable, incident report"
"/driver + /driver/proof","taxi taxi_meera","accept, vehicle, pickup, start, events, arrive, dropoff, samples, complete","PASS on UATD-BK-TAXI-2 (LP-P11); STUCK on PS-UAT-TAXI-MUBCEJSP-8852 (LP-N04)","taxi_trips, trip events","x02-*, x03-*","Call customer · masked, Mark unavailable, incident"
"/sitter","sitter uatcap_sit_cm / sit_sana","accept, check in (denied/far/near), care, check out","accept pass; check-in env/time-gated (LP-N14) + generic copy (LP-N05); sit_sana offer expired (LP-N11)","canonical_bookings assigned, sitter_accepted","s01-*, s02-*","Log care update, Log meal, Check out, Mark unavailable (disabled by state)"
"/host","host host_sana","requests -> accept; care plan; check-in; check-out; tabs","accept pass (LP-P13); care plan/check-in blocked (LP-N07)","boarding_stays UATD-STAY-2 confirmed","h01-*, h02-*","Decline with reason, Mark unavailable, extension, /host/proof"
"/partner/rates","sitter/host commission","set rates","FAIL 403 raw copy (D09)","—","s01-14, h01-15",""
"/control Service proof awaiting review","founder","approve grooming + training photos","pass (reason required; objectStored=false LP-N09)","service_media_assets approved","g02-founder-*, t03-founder-*","Reject"
