"screen","role","action","outcome","durable_data","evidence","untested_controls"
"/v2/relocation","customer (new, Pixel 7)","V2 Relocation: explicit country/age/size form, domestic Road Bengaluru→Pune with age 0 and international Air →Dubai created with the right countries","fixed-verified","D1 relocation_cases rows for both ids (origin_country/destination_country as above)","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/01-relocation/01-reloc-form-empty.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/01-relocation/02-reloc-empty-refused.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/01-relocation/04-reloc-domestic-created.png",""
"/v2/activity","customer","V2 Activity lists relocation inquiries with countries and reopens the case by link","pass","","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/01-relocation/10-activity-list.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/01-relocation/11-activity-reopened-case.png",""
"/v2/relocation?caseId=… and /team/relocation","customer + founder@pawspace.in staff context","Relocation customer case controls: placeholder document registration, support ticket, quote acceptance and refund request work end to end with staff progression","pass","D1 relocation_documents/relocation_quotes/relocation_payments/relocation_refunds/relocation_events rows for RLC-8DF802921C37311ADD0A612DB7B09BFA","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/01-relocation/06-reloc-doc-registered.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/01-relocation/13-staff-team-relocation-queue.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/01-relocation/14-staff-after-actions.png",""
"/v2/relocation?caseId=RLC-8DF802921C37311ADD0A612DB7B09BFA","customer (also visible to staff)","Relocation milestones never complete for documents review, quote issued and payment confirmed — customer page shows them 'pending' while 'transport booked' and 'origin handover' are 'complete'","defect P2","","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/01b-relocation-progress/06-customer-after-transport.png",""
"/team/relocation → POST /api/relocation","founder@pawspace.in on /team/relocation; also customer Request refund replay","Governed relocation refusals reach the staff and customer pages as the generic 'Unable to update relocation case' (409 reason redacted)","defect P2","","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/01-relocation/14-staff-after-actions.png",""
"/team/relocation","founder@pawspace.in","/team/relocation case list keeps the stale status after actions and 'Issue quote' can be replayed (second quote_sent event)","defect P3","RLC-8DF","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/01b-relocation-progress/02-staff-quote-issued.png",""
"/v2/relocation, /team/relocation","customer / founder","Relocation observations: no staff UI control for record_payment (API-only finance action); customer has no pay control for the relocation quote (ops-recorded payment); no per-event attribution on the customer page (events carry actor ids in the API: customer:<id> / founder@pawspace.in)","pass","","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/01b-relocation-progress/result.json",""
"/mobile-app → Relocation 'Enquire now' → POST /api/relocation-enquiry; /team/relocation-enquiries","customer (Pixel 7) + founder","Mobile-app Relocation enquiry (Enquire now) submits and reaches the staff enquiry list","pass","D1 relocation_enquiries RELQ-2091FF26-1","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/01b-relocation-progress/09-mobile-relocation-filled.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/01b-relocation-progress/10-mobile-relocation-submitted.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/01b-relocation-progress/11-staff-relocation-enquiries.png",""
"PATCH /api/pricing-control {entity:'package', id, changes:{active:1}, reason:'UAT publish'}","founder@pawspace.in","Grooming catalogue was empty on this database; published dog-basic (+2/3/4-pet bundles), dog-bath, dog-makeover, dog-trim, cat-basic (+2 pets) as founder via PATCH /api/pricing-control — staging needs the same publish","env-gated","","",""
"/v2/grooming","customer (new, Pixel 7)","V2 grooming: pet → package → doorstep → slot → live price → groomer → Reserve creates exactly one payment_pending booking; Pay refuses honestly (503), booking recoverable on reload","pass","PS-UAT-MUBC02TE-51E4","/tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/02-grooming/02-v2g-quote.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/02-grooming/03-v2g-checkout.png; /tmp/claude-0/-home-user-pawspace-tech-platform/18394ca5-ebb5-5fb5-a302-921f060172cb/scratchpad/launch/evidence/customer/02-grooming/04-v2g-after-pay.png",""
