"screen","role","action","outcome","durable_data","evidence","untested_controls"
"/staging-login","founder + 6 personas","access code, quick button / email sign-in","pass (all personas signed in)","pawspace_uat cookie session","founder.json,roles.json,people.json,finance.json","Pixel 7 viewport"
"/crm","founder","open, + Add lead, search by phone/name","lead create 201 (CU-54473/LEAD-1790002808441, owner auto-assigned); list search '0 shown' despite API finding it by phone AND name (EMP-L-R09 still-open); low-contrast detail text persists","contacts row CU-54473, first-response task","founder.json,followups2.json,founder/crm-lead-search.png,followups/crm-search-phone.png","Appearance-pill/CTA overlap not re-checked"
"/crm","jyoti-ops-manager","open","honest 403 'CRM is outside the manager's organizational scope' (fixed vs prior blanket denial)","—","roles.json step jyoti-crm-governed-403-copy","—"
"/crm","sunita-sales-manager, vishal-cx-manager","open","200 (in-scope for sales/CX managers)","—","roles.json steps sunita-crm-200, vishal-cx","—"
"/crm","anita-associate, asha-groomer","open","associate 200 rendered; groomer honest 403","—","people.json step associate-other-screens-EMP12; roles.json asha-groomer-pages","—"
"/booking-command-center","founder","filters, select booking, Reassign/Call/WhatsApp/Tracking","all 201, recorded in timeline; stream 200 text/event-stream; 'Tickets & refunds' tab now present (EMP-L-R16 not-retested for actual cancel/refund)","booking action rows, 14 bookings","founder.json steps bcc-page-api-stream,bcc-select-and-actions; followups2.json bcc-controls-EMP16","cancel/refund write action not driven"
"/booking-command-center","jyoti-ops-manager","open, stream","200 both (in-scope)","—","roles.json step jyoti-bcc-works","—"
"/booking-command-center","sunita/vishal (managers), anita-associate, anjali-finance","open, stream","snapshot honest 403 (in-scope managers get 200); stream 500 for all 4 instead of 403 (EMP-L-R15 still-open)","—","roles.json matrix /api/booking-command-center/stream; people.json step associate-other-screens-EMP12","—"
"/booking-command-center","asha-groomer","open, stream","honest 403 on both snapshot and stream (correct)","—","people.json step groomer-self-service","—"
"/control","founder","open all 22 panels, Launch essentials, Business 360, Approvals, STOP/ENABLE switch","Launch essentials 200/12 items (fixed EMP-08); Business 360 200 on first load (fixed EMP-13); Approvals panel 500 GET /api/control-center-operations (EMP-L-D03 new defect); switch roundtrip 200/200 with a valid reason, 500 on bad input (EMP-L-D02)","control_runtime_switches row toggled+restored","founder.json steps control-*; followups2.json control-center-operations-deterministic, runtime-switch-roundtrip-correct-payload; founder/control-*.png","—"
"/control","jyoti/sunita/vishal (managers)","open","denied-SILENT GET /api/control-tower:403 (EMP-11 still-open, narrowed to manager+/control)","—","roles.json steps 1,4,7 detail","—"
"/control","anjali-finance (MFA-enrolled)","open","rendered, controlPanelVisibleToFinance:true (fixed vs prior silent shell)","—","finance.json step control-finance-panel-ui-approve-seeded","approve-click target not found (approveClick:null)"
"/control","anita-associate, asha-groomer","open","honest 403 (unchanged, correct)","—","roles.json steps anita-associate-pages, asha-groomer-pages","—"
"/team/people/payroll","founder (maker), mahesh-finance (reviewer)","calculate, review, approve, prepare sandbox payment","calculate 200; maker-review-own 500 (wrong error class, EMP-L-D02); reviewer(mahesh) review 200; reviewer-approve-own 500; founder approve 200 (fixed EMP-04); prepare-sandbox-payment fails 'no such column: action' (EMP-L-D01 new P1)","PAYRUN-13345F82-85C: calculated→reviewed→approved","finance.json steps 4-10; founder.json payroll-page-controls-P1-10; finance/payroll-*.png, ERR-payroll_ui_prepare_sandbox_payment.png","—"
"/team/people/time","jyoti-ops-manager","Approve leave, Reject leave, Approve adjustment","all 200 via UI (fixed EMP-05); adjustment DB read shows 'pending' right after a 200 'approved' response, replay 500 (EMP-L-D05 new defect)","LVR-C270795B-E14 approved, LVR-34E24AEF-123 rejected, AAR-27BA56A7-4B3","people.json steps 7-10; people/jyoti-leave-approved.png,jyoti-adjustment-approved.png","—"
"/me","anita-associate","check in/out, apply leave (CL x2, no-policy code, overdraw)","check in/out 200 idempotent; leave apply 200 (fixed EMP-06); no-policy code 409 governed (fixed from 500); overdraw 200 pending","ATE-* events, LVR-C270795B-E14, LVR-34E24AEF-123, LVR-BC08EE7D-E44","people.json steps 0-6; people/anita-*.png","balance-check timing (request vs approval) not confirmed"
"/me","asha-groomer","check in/out","200 idempotent, same pattern as associate","ATE-* events","people.json step groomer-self-service","—"
"/team/relocation, /v2/relocation","customer OTP, jyoti/sunita (staff)","create case, staff-only actions blocked for customer, qualify, assign vendor, register/refuse/re-upload docs, issue/accept quote, milestones, payment, refund, reconciliation","full lifecycle pass, every negative case governed 4xx (409/403/404), idempotent case-create retry and quote-accept replay (EMP-L-P01 new pass)","RLC-720FC2C35975A76E160AADA410BBC2F8: lead→documents_pending→quote_sent→payment_pending→transport_ready→delivered","relocation.json steps 0-15; relocation/staff-01-case.png,cust-06-delivered.png,cust-07-refund.png","—"
"/team/relocation","anita-associate","view queue, attempt qualify/customerActionAsStaff","list 200 (queue visible) but action 403 with no honest denial text (EMP-L-D04 new defect)","—","relocation.json step staff-roles-on-relocation","—"
"/team/relocation","asha-groomer, anjali-finance-noMFA","view queue","honest 403, cannot even list (correct)","—","relocation.json step staff-roles-on-relocation","—"
"/team/finance and sub-pages","founder","GST invoice issue+replay, export gating, statutory package, expense maker/checker","invoice 200 + idempotent replay; export w/o mapping 409 governed; expense create 201, missing If-Match 428, self-approve 403, checker approve 200, replay 412, journal balanced","UATINV000001; exp_ec0c6e4b-bea approved; journal lines balanced 1250/1250","finance.json steps 11-18","—"
"/team/finance","anjali-finance (fresh, no MFA)","open, call finance APIs","every API 401/403 MFA required (env-gated, unchanged EMP-03), page shows honest denial text","—","roles.json step anjali-finance-noMFA-api-matrix; followups.json step anjali-fresh-session-needs-mfa","page-level re-check crashed mid-run (harness), not a product defect"
"/mfa","anjali-finance, mahesh-finance","enrol MFA (wrong code, then correct)","wrong code 401 'Invalid MFA code' shown; correct verify 200, DB mfa_enabled=1, lands on /team/finance (fixed EMP-03)","mfa_enabled=1 for both personas","finance.json steps 0,1,3; finance/anjali-mfa-verify-wrong.png","—"
"/team (nav), all pages","jyoti/sunita/vishal, anita-associate, asha-groomer","top-level nav card visibility","role-scoped: managers 15 cards, associate 12, groomer 6 (unchanged, correct)","—","roles.json steps 2,5,8,11,14","—"
"/api (30-endpoint matrix)","asha-groomer, anita-associate","every staff API","groomer: zero 500s, all denials clean 403 (pass EMP-P13); associate: one 500 (BCC stream, tracked EMP-15), rest clean 403","—","roles.json steps 9,12 (fiveXX fields)","—"
"/api/incentives, /api/i18n, /api/uat-scheduling","jyoti/sunita/vishal, anita-associate, asha-groomer","GET each","incentives 403 for everyone but founder (still-open EMP-12); i18n 200 for managers+associate w/o settings.manage (still-open); uat-scheduling now 200 for managers (fixed), still 403 for associate/groomer (still-open)","—","roles.json matrix rows","—"
"/api/customer-otp, /api/partner-otp","anon","wrong code, unknown challenge","customer 401/404 governed (fixed); partner 500/500 both cases, x4 reproductions (SW-023 still-open, partner side only)","—","founder.json step otp-wrong-code-SW023; followups.json step partner-otp-wrong-code-x3","—"
"55-route founder crawl (nav-* pages)","founder","open every top-level and sub-nav route","54/55 clean render; /team shows a background 403 on subscription-customers (EMP-L-D03 new defect); customer-experience shows governed 409 on conversation-control (pass, unchanged)","—","crawl.json results (55 entries)","—"
"23 Control panels","founder","open each panel","22/23 clean; Approvals panel 500 on control-center-operations (EMP-L-D03)","—","crawl.json panels (23 entries)","—"
"/team/people/incentives","founder","view, Open dispute","buttons render incl. new 'Submit dispute' after Open dispute; no seeded dispute to actually resolve; Approve/Reverse not re-posted this pass (not-retested EMP-P09)","—","founder.json step incentives-founder; followups2.json step incentives-open-dispute-resolve","Approve/Reverse/resolve write actions"
"/team/operations/work-queue, /team/alerts, /team/cases, /team/scheduling","jyoti-ops-manager","(API-level only this pass)","backing APIs 200 for ops-scoped manager; pages not re-opened/re-screenshotted this pass (not-retested EMP-P06)","—","roles.json step jyoti-ops-manager-api-matrix (allowed list)","full page content re-check"
